epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000090069241,0.1874997589323256,0.06250000423855252,0.0625,0.06250000476837159,0.062499925825330954,0.0624997079372406,0.06250012516975403,0.0,0.5,0.125,1.0,1.0,0.125,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,4.7023512840271,0.016405437506166184,0.11665773546318026,0.015484977298312715,0.000893964245915413,2.6495961938053368e-05,0.11665232976277669,5.136510299053043e-06,2.6919010451820215e-07,0.7628125,0.999375,1.0,0.0,1.0,1.0,1.0,0.99625,0.75125,0.85875,nan,0.79375,0.53,0.3525,0.82,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.478131523132324,0.0023666043142050817,0.17001200525011445,0.002346793015797933,1.566676190122962e-05,4.14453650591895e-06,0.17001188066270614,1.2299176432861714e-07,1.5956439725073323e-09,0.979375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9925,0.99375,nan,0.96375,0.99875,0.895,0.99125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,5.1444667530059816,0.0009349138440221498,0.19144622139851472,0.0009305122163560656,3.1581625808030367e-06,1.2434650852810592e-06,0.19144619835747612,1.8937694790110982e-08,4.1033437980786406e-09,0.99296875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9975,nan,0.99375,0.99875,0.955,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,4.233882913589477,0.0005914956155255722,0.20091415882061817,0.0005898425314161512,1.1404018732719124e-06,5.126822361489758e-07,0.20091414981418187,6.091173077038548e-09,2.9152632308182548e-09,0.99515625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99875,nan,0.99375,1.0,0.97,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,4.219629430770874,0.0004940652941493479,0.20192060028646644,0.000493304795689053,5.191185118746943e-07,2.4137994842021726e-07,0.20192059410942925,3.83109899360079e-09,2.3459381992552154e-09,0.99578125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99875,nan,0.99625,1.0,0.9725,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,4.22501955986023,0.0004288395399129917,0.2037614857009854,0.0004284475909339057,2.619585211505182e-07,1.2999045793549157e-07,0.20376148223876955,2.54554013423558e-09,9.166757131140457e-10,0.99640625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.99625,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,4.173757276535034,0.0004006193864158073,0.2024572393874417,0.00040036956469217933,1.6667967429384588e-07,8.314204933412838e-08,0.20245723724365233,1.7166481569574898e-09,4.2714121128994975e-10,0.9965625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.99625,1.0,0.97625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,4.194296197891235,0.00038228641288393794,0.2042292287712842,0.00038212637106577554,1.045888893713709e-07,5.5452928791055455e-08,0.20422922770182292,8.207508450652768e-10,2.487104078241487e-10,0.99671875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.9975,1.0,0.97625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,4.194492435455322,0.0003645482031975512,0.20500859225236254,0.0003644375337494744,7.170064691308654e-08,3.896880116371904e-08,0.2050085915459527,5.310392570123668e-10,1.7537057361849406e-10,0.996875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.9975,1.0,0.9775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
