epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000043058311,0.18750016012309512,0.06250000430583112,0.06250000484406001,0.06249999515593998,0.06250007535204476,0.06250010596381293,0.062499978807237414,0.1111111111111111,0.5555555555555556,0.14285714285714285,0.1111111111111111,0.5555555555555556,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,30.27475823402405,0.02656966304600344,0.10371568909397832,0.026464034253747794,9.501117562490796e-05,1.061761663073585e-05,0.03646558832239222,0.008816652827792697,0.058433447943793404,0.603015873015873,1.0,1.0,0.4583333333333333,0.9444444444444444,0.875,1.0,1.0,0.6542857142857142,0.7528571428571429,0.3242857142857143,0.4942857142857143,0.2885714285714286,0.3271428571428571,0.5857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.8625,0.4625,0.6125,0.1625,0.3375,0.175,0.1625,0.35,1.0,0.8625,0.98125,0.935,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
50,33.35295415878296,0.01537029137549104,0.08964651160769993,0.015362099945229829,3.992128112013378e-06,4.199302149197412e-06,0.032169151306152347,0.0044780704710218645,0.052999289830525716,0.8306349206349206,1.0,1.0,0.6583333333333333,0.9763888888888889,0.875,1.0,1.0,0.9642857142857143,0.9914285714285714,0.6685714285714286,0.9171428571428571,0.53,0.6242857142857143,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.925,0.7875,0.85,0.5,0.775,0.3125,0.2625,0.5125,1.0,0.925,1.0,0.9725,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
75,35.44111996650696,0.01190311840306672,0.08574210526766601,0.01189760238405258,1.9891019023600077e-06,3.526917111779016e-06,0.03343210573549624,0.003268866075409783,0.049041133456759985,0.8922222222222222,1.0,1.0,0.725,0.9847222222222223,0.875,1.0,1.0,0.9942857142857143,0.9928571428571429,0.8971428571428571,0.94,0.5728571428571428,0.7614285714285715,0.8714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.925,0.825,0.875,0.725,0.8125,0.4125,0.3875,0.5625,1.0,0.925,1.0,0.9875,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
100,33.49219972610474,0.009926431235155941,0.08247887722136063,0.009923049415440366,1.1612069866960012e-06,2.2206127288795653e-06,0.033737785433545525,0.002625926501221127,0.04611516528659397,0.9134920634920635,1.0,1.0,0.7569444444444444,0.9875,0.8736111111111111,1.0,1.0,0.9971428571428571,0.9985714285714286,0.9157142857142857,0.9542857142857143,0.6028571428571429,0.8171428571428572,0.9357142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.9125,0.8,0.8875,0.7375,0.8625,0.4625,0.475,0.675,1.0,0.9125,1.0,0.995,1.0,1.0,1.0,0.9888888888888889,0.0,1.0,1.0,1.0
125,34.2384463596344,0.008844549427764912,0.08248704300250537,0.008842169544684192,1.0605262858527047e-06,1.3193567948681967e-06,0.03493230136824243,0.0027706884675555757,0.044784053166707354,0.9234920634920635,1.0,1.0,0.7513888888888889,0.9861111111111112,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9985714285714286,0.93,0.9642857142857143,0.6214285714285714,0.8457142857142858,0.9528571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.9125,0.8,0.875,0.725,0.875,0.475,0.45,0.65,1.0,0.9125,1.0,0.9925,1.0,1.0,1.0,0.9888888888888889,0.0,1.0,1.0,1.0
150,35.97265131950378,0.008295391625552264,0.08306952689164951,0.008293755748284556,8.280250051664927e-07,8.078522625423613e-07,0.035531472571102195,0.003357173668013679,0.04418088065253364,0.9277777777777778,1.0,1.0,0.7527777777777778,0.9847222222222223,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9985714285714286,0.9328571428571428,0.9657142857142857,0.6471428571428571,0.8485714285714285,0.9585714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.9125,0.8375,0.8875,0.725,0.85,0.4875,0.425,0.65,1.0,0.925,1.0,0.9875,1.0,1.0,1.0,0.9888888888888889,0.0,1.0,1.0,1.0
175,33.54262159347534,0.007856336293903851,0.08309077153235306,0.007855343557959932,4.6132620246637433e-07,5.314097414532351e-07,0.036722498764226466,0.002857634425163269,0.04351063834296332,0.9314285714285714,1.0,1.0,0.7472222222222222,0.9875,0.8736111111111111,1.0,1.0,1.0,0.9985714285714286,0.9342857142857143,0.9685714285714285,0.6671428571428571,0.8557142857142858,0.9585714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.925,0.8375,0.8625,0.725,0.8125,0.4875,0.4,0.675,1.0,0.925,1.0,0.9925,1.0,1.0,1.0,0.9888888888888889,0.0,1.0,1.0,1.0
200,33.70339035987854,0.007413989385689331,0.08191444391821637,0.007413329001667218,3.179912603208943e-07,3.423927617924554e-07,0.0367356076652621,0.0021881146563424003,0.042990721596611874,0.9352380952380952,1.0,1.0,0.7513888888888889,0.9930555555555556,0.8736111111111111,1.0,1.0,1.0,0.9985714285714286,0.9342857142857143,0.9685714285714285,0.7,0.8571428571428571,0.9585714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.95,0.85,0.825,0.725,0.8125,0.525,0.4,0.675,1.0,0.95,1.0,0.9975,1.0,1.0,1.0,0.9888888888888889,0.0,1.0,1.0,1.0
225,33.54609195709229,0.00707767872916735,0.08148445923019339,0.007077154465663581,2.96710410140573e-07,2.2755309362851437e-07,0.03706361276132089,0.0020210691624217565,0.04239977730645074,0.9371428571428572,1.0,1.0,0.7527777777777778,0.9930555555555556,0.8736111111111111,1.0,1.0,1.0,0.9985714285714286,0.9357142857142857,0.9685714285714285,0.7142857142857143,0.8571428571428571,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.95,0.8375,0.825,0.7125,0.825,0.5375,0.4,0.6875,1.0,0.95,1.0,0.9975,1.0,1.0,1.0,0.9888888888888889,0.0,1.0,1.0,1.0
