epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999947018092,0.18749991522894965,0.06250000423855252,0.06250000476837159,0.062499990463256834,0.06250005828009712,0.06250000596046448,0.06249985098838806,0.0,0.625,0.125,1.0,0.0,0.125,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3.9341628837585447,0.024663690786659972,0.49745195370847395,0.024653807746039494,3.275706840213388e-06,6.607333780266345e-06,0.12427433861626519,0.37317354679107667,4.068301132065244e-06,0.62,1.0,1.0,0.0,0.0,1.0,1.0,nan,0.755,0.8675,0.49875,0.64125,0.49625,0.31375,0.3875,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,4.655288753509521,0.014414609007136378,0.5082041298557468,0.014407098558213975,3.52500966982916e-06,3.985439252573997e-06,0.13240704006618925,0.3757890224456787,8.0673438787926e-06,0.8565625,1.0,1.0,0.0,0.0,1.0,1.0,nan,0.9875,0.9925,0.81,0.955,0.5775,0.72375,0.80625,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,4.577096843719483,0.009979682689299807,0.49554024214085074,0.00997426986694336,1.8651338177733124e-06,3.547688538674265e-06,0.1357246398925781,0.35980825424194335,7.348006329266355e-06,0.915,1.0,1.0,0.0,0.0,1.0,1.0,nan,0.9975,1.0,0.94,0.9775,0.6275,0.84625,0.93125,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,5.302997236251831,0.008215375504854213,0.4910989925766949,0.008212264378865559,1.071866718120873e-06,2.0392592705320565e-06,0.13522795571221247,0.3558656692504883,5.367613994167186e-06,0.92921875,1.0,1.0,0.0,0.0,1.0,1.0,nan,0.99875,1.0,0.96,0.98625,0.66125,0.87625,0.95125,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,5.799387836456299,0.00734702805044233,0.4937589929600816,0.007345337337917752,5.720724584534764e-07,1.1186400661244989e-06,0.13460411495632596,0.3591523885726929,2.4894310627132653e-06,0.936875,1.0,1.0,0.0,0.0,1.0,1.0,nan,1.0,1.0,0.9725,0.9875,0.68625,0.89125,0.9575,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,8.803922271728515,0.006809833204487303,0.4971264688795297,0.006808917257520888,2.3272938051377423e-07,6.832175859017298e-07,0.13569838205973309,0.3614218711853027,6.21563449385576e-06,0.94078125,1.0,1.0,0.0,0.0,1.0,1.0,nan,1.0,1.0,0.975,0.9875,0.70125,0.89625,0.96625,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,9.878982639312744,0.0062265420203038956,0.49734572371376595,0.006225900650024414,1.416732629877515e-07,4.99697016493883e-07,0.1361222161187066,0.3612192392349243,4.26836013502907e-06,0.9453125,1.0,1.0,0.0,0.0,1.0,1.0,nan,1.0,1.0,0.97625,0.98625,0.73,0.90125,0.96875,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,9.101451196670531,0.005775654133533156,0.49858989322898806,0.005775151782565647,1.1343840924382676e-07,3.8891255826456473e-07,0.13726383845011395,0.3613245964050293,1.4583738447981887e-06,0.94984375,1.0,1.0,0.0,0.0,1.0,1.0,nan,1.0,1.0,0.98125,0.98625,0.75375,0.9075,0.97,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,12.280008363723756,0.005533554948500144,0.4978924829997393,0.005533159573872884,1.1220117812626995e-07,2.8317344913375564e-07,0.13743032879299588,0.3604616165161133,5.3769063015352e-07,0.95234375,1.0,1.0,0.0,0.0,1.0,1.0,nan,1.0,1.0,0.98125,0.99,0.76875,0.90875,0.97,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
